64711,-0.060,0.996,-0.070,0.016,0.064,-0.036,0.091,-0.091,-0.102,5775,5224;
64713,-0.068,0.989,-0.066,0.012,0.059,-0.041,-0.273,-0.091,0.102,5773,5222;
64717,-0.064,0.985,-0.073,0.015,0.041,-0.034,-0.273,-0.091,0.102,5773,5221;
64718,-0.038,1.000,-0.059,0.015,0.028,-0.038,-0.091,-0.273,-0.510,5775,5219;
64719,-0.056,0.978,-0.070,0.011,0.005,-0.034,-0.091,-0.273,-0.510,5769,5162;
64745,-0.034,1.008,-0.059,0.007,-0.011,-0.038,-0.091,-0.273,-0.510,5754,5188;
64775,-0.041,0.989,-0.059,-0.001,-0.024,-0.033,0.000,0.545,-1.429,5759,5215;
64805,-0.056,0.993,-0.066,-0.002,-0.038,-0.034,0.000,0.545,-1.429,5765,5173;
64825,-0.060,0.989,-0.066,-0.004,-0.057,-0.027,0.091,0.182,-0.510,5780,5226;
64855,-0.060,0.993,-0.063,-0.006,-0.059,-0.032,0.091,0.182,-0.510,5785,5229;
64875,-0.064,0.996,-0.059,-0.005,-0.059,-0.025,0.091,0.182,-0.510,5784,5230;
64905,-0.060,0.996,-0.059,0.005,-0.056,-0.024,-0.091,-0.091,-0.204,5777,5166;
64935,-0.056,0.993,-0.059,0.016,-0.066,-0.032,-0.091,-0.091,-0.204,5774,5229;
64955,-0.068,0.989,-0.056,0.019,-0.055,-0.032,-0.091,-0.091,-0.204,5783,5225;
64985,-0.072,0.996,-0.063,0.019,-0.044,-0.029,0.273,-0.182,-0.510,5781,5222;
65005,-0.064,1.000,-0.052,0.017,-0.030,-0.027,0.273,-0.182,-0.510,5754,5218;
65035,-0.083,0.993,-0.059,0.022,-0.022,-0.032,0.000,0.182,-0.408,5777,5212;
65055,-0.079,1.000,-0.052,0.002,0.007,-0.034,0.000,0.182,-0.408,5774,5207;
65085,-0.083,1.000,-0.049,0.002,0.033,-0.039,0.000,0.182,-0.408,5773,5201;
65115,-0.075,0.996,-0.045,0.017,0.049,-0.036,-0.273,0.091,0.204,5769,5139;
65135,-0.068,1.008,-0.059,0.010,0.084,-0.038,-0.273,0.091,0.204,5754,5144;
65165,-0.079,0.981,-0.063,-0.001,0.101,-0.042,-0.273,0.091,0.204,5758,5136;
65195,-0.072,0.989,-0.056,-0.005,0.119,-0.058,-0.182,0.909,-0.306,5747,5181;
65225,-0.060,0.985,-0.052,-0.027,0.138,-0.063,-0.182,0.909,-0.306,5736,5130;
65245,-0.038,1.000,-0.059,-0.029,0.140,-0.062,-0.091,0.727,0.102,5763,5179;
65275,-0.045,0.996,-0.049,-0.029,0.134,-0.064,-0.091,0.727,0.102,5761,5175;
65295,-0.049,0.993,-0.056,-0.029,0.125,-0.069,-0.091,0.727,0.102,5760,5135;
65335,-0.038,0.989,-0.045,-0.010,0.107,-0.062,0.273,0.091,-0.510,5735,4998;
65365,-0.041,0.996,-0.042,-0.011,0.097,-0.066,0.273,0.091,-0.510,5753,5166;
65385,-0.041,0.993,-0.063,-0.008,0.090,-0.062,0.091,-0.091,-0.408,5746,5164;
65415,-0.049,0.996,-0.056,-0.002,0.076,-0.064,0.091,-0.091,-0.408,5748,5110;
65435,-0.049,0.989,-0.059,0.006,0.076,-0.061,-0.091,-0.091,1.429,5695,5164;
65465,-0.068,0.993,-0.049,0.013,0.087,-0.062,-0.091,-0.091,1.429,5753,5170;
65485,-0.072,0.996,-0.038,0.022,0.113,-0.068,-0.091,-0.091,1.429,5764,5179;
65515,-0.068,0.993,-0.042,-0.005,0.125,-0.069,0.000,0.091,-0.306,5764,5138;
65545,-0.079,0.981,-0.052,-0.029,0.135,-0.078,0.000,0.091,-0.306,5784,5205;
65575,-0.064,0.996,-0.045,-0.049,0.137,-0.086,0.182,0.091,-0.408,5790,5212;
65595,-0.060,1.000,-0.052,-0.027,0.137,-0.089,0.182,0.091,-0.408,5794,5215;
65625,-0.060,1.004,-0.042,-0.017,0.132,-0.086,0.182,0.091,-0.408,5787,5217;
65655,-0.064,1.000,-0.052,-0.007,0.146,-0.092,-0.273,-0.182,0.000,5811,5219;
65675,-0.064,1.004,-0.045,-0.008,0.154,-0.097,-0.273,-0.182,0.000,5821,5226;
65705,-0.060,1.015,-0.049,0.016,0.164,-0.106,-0.273,-0.182,0.000,5837,5228;
65735,-0.045,1.008,-0.056,0.042,0.170,-0.110,0.000,0.091,-0.306,5823,5210;
65755,-0.045,0.996,-0.070,0.072,0.148,-0.108,0.000,0.091,-0.306,5875,5270;
65785,-0.023,1.000,-0.052,0.075,0.113,-0.095,-0.091,-0.091,-0.204,5913,5297;
65805,-0.038,0.993,-0.059,0.095,0.095,-0.091,-0.091,-0.091,-0.204,5957,5321;
