26296,0.497,0.019,-0.779,0.137,0.279,0.109,0.000,-1.000,-0.510,5900,5643;
26306,0.486,0.019,-0.772,0.132,0.278,0.113,-0.273,0.000,1.122,5899,5640;
26317,0.497,0.026,-0.772,0.134,0.272,0.109,-0.273,0.000,1.122,5900,5641;
26319,0.486,0.011,-0.786,0.132,0.278,0.109,0.091,-0.182,-0.102,5899,5640;
26321,0.501,0.030,-0.772,0.134,0.283,0.113,0.091,-0.182,-0.102,5907,5617;
26352,0.474,0.030,-0.765,0.136,0.285,0.112,0.000,0.091,-0.408,5907,5648;
26382,0.489,0.019,-0.775,0.136,0.282,0.110,0.000,0.091,-0.408,5906,5648;
26402,0.489,0.019,-0.779,0.140,0.282,0.108,0.000,0.091,-0.408,5905,5641;
26442,0.493,0.023,-0.775,0.142,0.283,0.115,-0.182,-0.818,0.000,5907,5641;
26462,0.493,0.019,-0.782,0.141,0.278,0.110,-0.182,-0.818,0.000,5899,5648;
26492,0.489,0.023,-0.775,0.138,0.278,0.110,-0.182,-0.091,0.510,5906,5588;
26532,0.501,0.026,-0.761,0.138,0.283,0.112,-0.182,-0.091,0.510,5906,5643;
26552,0.512,0.026,-0.768,0.136,0.279,0.108,0.000,0.000,0.102,5906,5642;
26582,0.486,0.015,-0.772,0.134,0.276,0.112,0.000,0.000,0.102,5906,5649;
26602,0.493,0.015,-0.782,0.134,0.280,0.110,0.000,0.000,0.102,5905,5651;
26632,0.489,0.015,-0.779,0.136,0.279,0.106,-0.182,0.091,-1.531,5906,5628;
26662,0.486,0.019,-0.772,0.134,0.282,0.113,-0.182,0.091,-1.531,5905,5651;
26692,0.489,0.015,-0.768,0.134,0.283,0.109,0.091,0.000,0.000,5905,5624;
26732,0.489,0.011,-0.779,0.136,0.276,0.113,0.091,0.000,0.000,5906,5650;
26762,0.504,0.030,-0.786,0.136,0.282,0.113,0.182,-0.091,0.000,5906,5652;
26782,0.493,0.023,-0.775,0.136,0.282,0.109,0.182,-0.091,0.000,5906,5652;
26812,0.489,0.019,-0.782,0.135,0.274,0.113,0.182,-0.091,0.000,5905,5652;
26842,0.489,0.026,-0.765,0.134,0.289,0.110,0.182,0.182,0.102,5905,5627;
26862,0.493,0.008,-0.775,0.135,0.296,0.107,0.182,0.182,0.102,5900,5653;
26902,0.493,0.019,-0.779,0.125,0.283,0.112,-0.091,0.091,-0.204,5905,5645;
26932,0.489,0.023,-0.775,0.143,0.285,0.112,-0.091,0.091,-0.204,5905,5630;
26962,0.497,0.030,-0.765,0.148,0.285,0.112,0.000,0.727,0.408,5905,5651;
26982,0.489,0.015,-0.779,0.154,0.262,0.118,0.000,0.727,0.408,5906,5652;
27012,0.497,0.011,-0.786,0.132,0.262,0.113,0.000,0.727,0.408,5905,5634;
27042,0.493,0.015,-0.775,0.137,0.280,0.107,0.000,-0.182,0.204,5904,5645;
27072,0.489,0.015,-0.772,0.137,0.283,0.108,0.000,-0.182,0.204,5898,5652;
27092,0.493,0.019,-0.782,0.124,0.287,0.110,-0.182,0.273,0.306,5906,5638;
27132,0.493,0.023,-0.775,0.123,0.282,0.108,-0.182,0.273,0.306,5906,5608;
27162,0.501,0.019,-0.779,0.136,0.284,0.113,-0.182,-0.727,-0.714,5906,5654;
27192,0.482,0.019,-0.775,0.137,0.274,0.112,-0.182,-0.727,-0.714,5906,5654;
27212,0.493,0.015,-0.775,0.142,0.273,0.110,-0.182,-0.727,-0.714,5907,5613;
27252,0.497,0.015,-0.779,0.136,0.279,0.115,-0.091,0.091,-0.102,5906,5628;
27272,0.489,0.023,-0.772,0.138,0.279,0.112,-0.091,0.091,-0.102,5898,5652;
27302,0.486,0.015,-0.779,0.137,0.274,0.113,-0.091,-0.091,0.204,5905,5643;
27342,0.497,0.019,-0.768,0.129,0.279,0.112,-0.091,-0.091,0.204,5904,5632;
27372,0.482,0.015,-0.782,0.132,0.288,0.110,0.091,0.364,0.816,5905,5645;
27392,0.501,0.023,-0.779,0.132,0.294,0.109,0.091,0.364,0.816,5906,5647;
27422,0.486,0.015,-0.775,0.123,0.291,0.112,0.091,0.364,0.816,5907,5628;
27452,0.486,0.011,-0.779,0.134,0.289,0.110,0.000,-0.091,0.204,5907,5632;
27482,0.493,0.026,-0.786,0.138,0.284,0.109,0.000,-0.091,0.204,5907,5649;
27512,0.489,0.019,-0.775,0.136,0.284,0.113,-0.091,-0.091,-0.408,5908,5627;
27542,0.508,0.023,-0.775,0.136,0.287,0.109,-0.091,-0.091,-0.408,5908,5628;
27572,0.486,0.008,-0.775,0.136,0.287,0.109,0.091,-0.091,-0.102,5908,5660;
27592,0.493,0.023,-0.779,0.135,0.284,0.115,0.091,-0.091,-0.102,5910,5660;
27622,0.489,0.019,-0.772,0.129,0.296,0.112,0.091,-0.091,-0.102,5910,5636;
27652,0.493,0.015,-0.775,0.118,0.301,0.112,0.091,0.000,-0.306,5906,5657;
27672,0.497,0.019,-0.775,0.123,0.311,0.110,0.091,0.000,-0.306,5911,5669;
27702,0.497,0.015,-0.779,0.115,0.318,0.109,-0.091,-0.273,-0.306,5913,5670;
27732,0.489,0.019,-0.779,0.108,0.327,0.113,-0.091,-0.273,-0.306,5915,5664;
27762,0.493,0.026,-0.765,0.109,0.334,0.113,-0.091,-0.273,-0.306,5917,5679;
27792,0.493,0.015,-0.782,0.108,0.341,0.115,0.000,0.000,-0.102,5917,5679;
27812,0.497,0.023,-0.768,0.107,0.340,0.115,0.000,0.000,-0.102,5918,5679;
27842,0.501,0.026,-0.775,0.110,0.333,0.114,-0.091,-0.091,0.102,5919,5674;
27872,0.501,0.023,-0.772,0.104,0.336,0.115,-0.091,-0.091,0.102,5921,5680;
27902,0.501,0.023,-0.768,0.103,0.344,0.110,-0.091,-0.091,0.102,5923,5679;
27932,0.508,0.026,-0.772,0.096,0.339,0.112,-0.091,0.091,-0.306,5923,5620;
27952,0.508,0.030,-0.761,0.110,0.342,0.115,-0.091,0.091,-0.306,5922,5653;
27982,0.504,0.030,-0.775,0.124,0.348,0.117,0.000,0.000,0.000,5923,5672;
28012,0.504,0.026,-0.772,0.127,0.340,0.120,0.000,0.000,0.000,5925,5664;
28032,0.508,0.015,-0.775,0.113,0.324,0.120,0.000,0.000,0.000,5919,5623;
28062,0.519,0.030,-0.768,0.100,0.329,0.119,0.091,0.000,0.102,5927,5672;
28092,0.504,0.015,-0.761,0.098,0.346,0.114,0.091,0.000,0.102,5930,5666;
28122,0.512,0.023,-0.772,0.091,0.359,0.118,0.091,0.091,-0.102,5932,5655;
28152,0.516,0.034,-0.758,0.084,0.369,0.114,0.091,0.091,-0.102,5931,5645;
28182,0.493,0.023,-0.761,0.093,0.363,0.119,0.091,-0.182,-0.102,5931,5671;
28202,0.516,0.038,-0.765,0.096,0.357,0.118,0.091,-0.182,-0.102,5931,5669;
28232,0.512,0.034,-0.761,0.103,0.347,0.119,0.091,-0.182,-0.102,5930,5653;
28262,0.519,0.034,-0.772,0.107,0.336,0.119,0.000,0.091,0.204,5930,5654;
28282,0.516,0.041,-0.758,0.103,0.336,0.119,0.000,0.091,0.204,5931,5666;
28312,0.531,0.030,-0.761,0.106,0.340,0.125,0.000,0.091,0.204,5932,5660;
28342,0.531,0.034,-0.754,0.096,0.347,0.117,0.000,0.182,0.102,5933,5617;
28372,0.531,0.034,-0.751,0.096,0.333,0.119,0.000,0.182,0.102,5933,5667;
28392,0.531,0.038,-0.758,0.112,0.338,0.117,0.273,0.000,-0.204,5932,5667;
28422,0.523,0.034,-0.754,0.115,0.333,0.120,0.273,0.000,-0.204,5932,5668;
28452,0.527,0.034,-0.761,0.106,0.335,0.115,0.364,0.727,-0.102,5933,5666;
28482,0.531,0.041,-0.751,0.109,0.335,0.119,0.364,0.727,-0.102,5935,5665;
28522,0.534,0.045,-0.754,0.114,0.327,0.118,0.364,0.727,-0.102,5935,5650;
28542,0.538,0.049,-0.737,0.124,0.325,0.110,0.182,-0.182,0.102,5935,5627;
28572,0.538,0.045,-0.747,0.129,0.324,0.118,0.182,-0.182,0.102,5935,5665;
28602,0.534,0.038,-0.754,0.131,0.312,0.120,0.000,-0.273,-0.204,5933,5664;
28622,0.542,0.041,-0.747,0.132,0.308,0.115,0.000,-0.273,-0.204,5925,5664;
28662,0.538,0.038,-0.751,0.129,0.305,0.115,0.000,-0.182,-0.102,5932,5661;
28682,0.534,0.041,-0.737,0.143,0.299,0.118,0.000,-0.182,-0.102,5932,5662;
28712,0.542,0.041,-0.758,0.142,0.295,0.117,0.000,-0.182,-0.102,5930,5659;
28742,0.546,0.041,-0.751,0.138,0.279,0.109,0.091,-0.091,0.102,5928,5636;
28772,0.538,0.045,-0.754,0.134,0.267,0.108,0.091,-0.091,0.102,5927,5657;
28802,0.531,0.038,-0.744,0.154,0.270,0.110,0.182,-0.091,-0.204,5924,5655;
28822,0.546,0.041,-0.758,0.157,0.271,0.108,0.182,-0.091,-0.204,5915,5651;
