316133,-0.090,0.985,-0.080,0.107,-0.035,-0.019,0.000,0.273,-0.408,5722,5283;
316157,-0.090,0.989,-0.073,0.109,-0.038,-0.022,0.000,0.273,-0.408,5723,5285;
316187,-0.087,0.985,-0.070,0.110,-0.038,-0.022,0.000,1.000,0.204,5729,5287;
316207,-0.098,0.985,-0.070,0.102,-0.030,-0.022,0.000,1.000,0.204,5729,5288;
316247,-0.087,0.989,-0.077,0.103,-0.029,-0.018,0.000,1.000,0.204,5725,5288;
316277,-0.098,0.981,-0.073,0.106,-0.035,-0.021,0.000,0.182,0.102,5731,5287;
316297,-0.090,0.993,-0.063,0.108,-0.039,-0.018,0.000,0.182,0.102,5731,5283;
316327,-0.090,0.985,-0.066,0.109,-0.038,-0.016,0.091,0.091,-0.714,5732,5286;
316347,-0.087,0.989,-0.070,0.115,-0.041,-0.016,0.091,0.091,-0.714,5726,5285;
316377,-0.094,1.000,-0.059,0.113,-0.040,-0.015,0.091,0.091,-0.714,5703,5279;
316407,-0.079,0.989,-0.049,0.109,-0.041,-0.019,0.000,0.091,0.000,5707,5285;
316437,-0.090,0.989,-0.063,0.112,-0.051,-0.017,0.000,0.091,0.000,5726,5286;
316467,-0.102,0.978,-0.070,0.109,-0.042,-0.017,0.000,-0.091,-0.408,5730,5285;
316487,-0.094,0.985,-0.070,0.112,-0.047,-0.021,0.000,-0.091,-0.408,5723,5284;
316517,-0.090,0.993,-0.070,0.103,-0.034,-0.013,0.000,-0.091,-0.408,5731,5284;
316547,-0.098,0.993,-0.066,0.108,-0.033,-0.013,-0.182,0.182,-0.510,5725,5283;
316577,-0.090,0.985,-0.066,0.108,-0.040,-0.018,-0.182,0.182,-0.510,5727,5283;
316597,-0.094,0.989,-0.066,0.110,-0.044,-0.017,-0.091,-0.818,-0.714,5727,5280;
316627,-0.094,0.985,-0.073,0.113,-0.042,-0.018,-0.091,-0.818,-0.714,5727,5282;
316657,-0.094,0.989,-0.070,0.114,-0.047,-0.016,-0.091,-0.818,-0.714,5722,5283;
316677,-0.094,0.989,-0.063,0.115,-0.047,-0.021,-0.091,-0.182,-0.102,5726,5282;
316707,-0.098,0.989,-0.073,0.114,-0.047,-0.019,-0.091,-0.182,-0.102,5726,5279;
316727,-0.094,0.989,-0.063,0.114,-0.042,-0.018,0.000,0.727,0.102,5721,5282;
316757,-0.094,1.000,-0.070,0.115,-0.038,-0.019,0.000,0.727,0.102,5718,5281;
316787,-0.087,1.004,-0.059,0.110,-0.032,-0.021,0.000,-0.182,-0.408,5726,5281;
316817,-0.090,0.996,-0.063,0.115,-0.033,-0.017,0.000,-0.182,-0.408,5703,5279;
316847,-0.090,0.985,-0.066,0.112,-0.034,-0.022,0.000,-0.182,-0.408,5723,5279;
316877,-0.075,1.004,-0.066,0.118,-0.033,-0.019,0.182,0.182,0.306,5728,5279;
316907,-0.090,0.993,-0.070,0.119,-0.033,-0.019,0.182,0.182,0.306,5728,5278;
316927,-0.087,0.989,-0.066,0.118,-0.038,-0.022,0.000,0.909,1.327,5729,5278;
316967,-0.083,1.000,-0.066,0.118,-0.035,-0.022,0.000,0.909,1.327,5721,5277;
316997,-0.094,0.993,-0.066,0.121,-0.040,-0.023,23.182,0.000,0.000,5730,5277;
317017,-0.094,0.985,-0.066,0.118,-0.039,-0.023,-0.091,0.000,0.000,5708,5278;
317057,-0.090,0.993,-0.070,0.113,-0.041,-0.019,-0.091,0.000,0.000,5723,5279;
317087,-0.090,0.993,-0.059,0.113,-0.047,-0.022,0.000,0.727,-0.102,5731,5278;
317107,-0.087,0.996,-0.066,0.112,-0.045,-0.027,0.000,0.727,-0.102,5728,5278;
317137,-0.090,0.989,-0.073,0.110,-0.038,-0.021,0.000,-0.273,-0.408,5735,5279;
317167,-0.094,0.989,-0.066,0.113,-0.038,-0.022,0.000,-0.273,-0.408,5730,5279;
317197,-0.094,1.000,-0.063,0.103,-0.032,-0.019,0.000,-0.273,-0.408,5740,5280;
317217,-0.090,0.993,-0.070,0.112,-0.040,-0.022,-0.091,0.091,-0.102,5738,5275;
317257,-0.090,0.981,-0.073,0.107,-0.050,-0.022,-0.091,0.091,-0.102,5737,5279;
317277,-0.090,1.000,-0.063,0.109,-0.047,-0.021,-0.091,0.182,-0.102,5732,5277;
317307,-0.094,0.985,-0.077,0.108,-0.045,-0.021,-0.091,0.182,-0.102,5735,5277;
317327,-0.098,0.989,-0.066,0.115,-0.045,-0.022,-0.091,0.182,-0.102,5712,5276;
317357,-0.094,0.993,-0.066,0.113,-0.049,-0.023,0.091,-0.727,-1.224,5733,5275;
317387,-0.090,0.985,-0.073,0.109,-0.042,-0.019,0.091,-0.727,-1.224,5728,5276;
317407,-0.102,0.978,-0.063,0.109,-0.045,-0.024,-0.091,-0.364,0.306,5733,5276;
317437,-0.098,0.989,-0.066,0.108,-0.039,-0.016,-0.091,-0.364,0.306,5728,5275;
317467,-0.090,0.985,-0.056,0.109,-0.034,-0.024,-0.091,-0.364,0.306,5722,5274;
317487,-0.102,1.004,-0.056,0.107,-0.038,-0.024,-0.273,0.455,-0.204,5732,5275;
317517,-0.094,0.989,-0.070,0.103,-0.039,-0.024,-0.273,0.455,-0.204,5732,5275;
317537,-0.102,0.985,-0.077,0.110,-0.038,-0.021,-0.182,-0.636,-1.939,5731,5274;
317567,-0.087,0.989,-0.070,0.115,-0.039,-0.018,-0.182,-0.636,-1.939,5723,5274;
317597,-0.094,0.993,-0.063,0.110,-0.035,-0.019,-0.182,-0.636,-1.939,5730,5273;
317627,-0.098,0.985,-0.073,0.114,-0.038,-0.022,0.000,0.091,0.102,5727,5270;
317657,-0.083,1.000,-0.063,0.117,-0.038,-0.019,0.000,0.091,0.102,5725,5272;
317677,-0.090,0.985,-0.070,0.114,-0.038,-0.019,0.000,-0.909,-0.408,5729,5272;
317707,-0.090,0.996,-0.063,0.119,-0.039,-0.015,0.000,-0.909,-0.408,5730,5273;
317737,-0.090,0.985,-0.073,0.123,-0.040,-0.017,0.000,-0.909,-0.408,5732,5272;
317757,-0.090,0.989,-0.073,0.120,-0.042,-0.022,0.000,0.091,-0.102,5736,5279;
317787,-0.090,0.993,-0.066,0.120,-0.042,-0.022,0.000,0.091,-0.102,5742,5280;
317817,-0.079,1.004,-0.052,0.118,-0.035,-0.018,0.000,-0.455,-0.204,5726,5285;
317837,-0.098,1.008,-0.045,0.124,-0.032,-0.019,0.000,-0.455,-0.204,5720,5289;
317867,-0.109,0.970,-0.073,0.113,-0.024,-0.015,0.000,-0.455,-0.204,5709,5294;
317897,-0.113,0.963,-0.070,0.109,-0.018,-0.016,0.000,-0.545,1.327,5747,5310;
317927,-0.090,0.989,-0.063,0.108,-0.028,-0.022,0.000,-0.545,1.327,5786,5313;
317957,-0.098,0.981,-0.070,0.112,-0.023,-0.019,-0.091,0.000,-0.408,5805,5322;
317987,-0.094,0.993,-0.070,0.113,-0.018,-0.023,-0.091,0.000,-0.408,5804,5329;
318017,-0.087,0.993,-0.066,0.114,-0.023,-0.022,0.000,0.091,1.020,5828,5336;
318047,-0.083,1.000,-0.059,0.106,-0.029,-0.024,0.000,0.091,1.020,5813,5338;
318077,-0.090,0.989,-0.070,0.109,-0.028,-0.021,0.000,0.091,1.020,5846,5344;
318097,-0.094,0.985,-0.066,0.108,-0.024,-0.021,0.000,-0.636,-0.102,5858,5350;
318127,-0.090,0.993,-0.066,0.110,-0.021,-0.018,0.000,-0.636,-0.102,5867,5353;
318147,-0.087,0.989,-0.066,0.110,-0.019,-0.017,0.000,-0.636,-0.102,5853,5355;
318177,-0.083,1.000,-0.063,0.106,-0.021,-0.016,-0.091,0.000,-0.408,5884,5359;
318197,-0.090,0.989,-0.070,0.106,-0.021,-0.019,-0.091,0.000,-0.408,5893,5363;
318227,-0.094,0.981,-0.073,0.097,-0.023,-0.021,-0.182,0.000,0.000,5908,5368;
318257,-0.098,0.996,-0.063,0.106,-0.018,-0.019,-0.182,0.000,0.000,5888,5370;
318287,-0.094,0.985,-0.070,0.106,-0.023,-0.019,0.000,0.000,-0.408,5927,5376;
318307,-0.087,1.000,-0.063,0.103,-0.021,-0.021,0.000,0.000,-0.408,5934,5379;
318337,-0.087,0.989,-0.063,0.102,-0.019,-0.021,0.000,0.000,-0.408,5943,5384;
318357,-0.079,0.996,-0.066,0.098,-0.024,-0.023,-0.273,0.182,-0.102,5951,5388;
318387,-0.087,0.993,-0.070,0.100,-0.024,-0.023,-0.273,0.182,-0.102,5950,5391;
318417,-0.094,0.996,-0.070,0.101,-0.024,-0.022,-0.273,0.182,-0.102,5961,5394;
318447,-0.090,1.000,-0.056,0.096,-0.025,-0.022,0.000,0.091,-0.204,5973,5393;
318467,-0.098,0.978,-0.070,0.101,-0.024,-0.021,0.000,0.091,-0.204,5976,5398;
318497,-0.094,0.993,-0.049,0.101,-0.019,-0.019,-0.091,0.364,-0.306,5988,5401;
318527,-0.090,0.993,-0.063,0.101,-0.027,-0.019,-0.091,0.364,-0.306,5986,5403;
318547,-0.087,0.993,-0.059,0.089,-0.021,-0.022,-0.091,0.364,-0.306,5992,5405;
318577,-0.090,0.993,-0.059,0.098,-0.021,-0.021,-0.091,0.091,-0.306,5992,5411;
318607,-0.090,0.996,-0.063,0.098,-0.024,-0.027,-0.091,0.091,-0.306,5997,5413;
318627,-0.098,0.985,-0.066,0.085,-0.016,-0.023,-0.273,-0.091,0.000,6005,5413;
318657,-0.098,0.996,-0.059,0.095,-0.017,-0.025,-0.273,-0.091,0.000,6001,5415;
318687,-0.094,0.996,-0.070,0.101,-0.032,-0.024,-0.273,-0.091,0.000,6012,5418;
318717,-0.090,0.985,-0.070,0.100,-0.027,-0.022,-0.182,0.000,-0.612,6016,5421;
318737,-0.094,0.985,-0.066,0.096,-0.024,-0.021,-0.182,0.000,-0.612,6020,5424;
318767,-0.094,0.989,-0.059,0.096,-0.029,-0.028,-0.091,-0.091,-0.204,6026,5427;
318797,-0.087,0.996,-0.059,0.106,-0.030,-0.021,-0.091,-0.091,-0.204,6028,5429;
318827,-0.109,0.989,-0.049,0.096,-0.030,-0.025,-0.091,-0.091,-0.204,6038,5434;
318847,-0.090,0.989,-0.056,0.097,-0.028,-0.023,0.182,-0.091,-0.204,6044,5438;
318877,-0.083,1.015,-0.042,0.098,-0.027,-0.022,0.182,-0.091,-0.204,6045,5442;
318907,-0.098,0.993,-0.052,0.101,-0.029,-0.022,0.273,0.000,-0.306,6056,5445;
318927,-0.090,0.993,-0.063,0.106,-0.030,-0.017,0.273,0.000,-0.306,6064,5447;
318957,-0.098,0.996,-0.066,0.109,-0.032,-0.021,0.273,0.000,-0.306,6071,5448;
318977,-0.094,0.985,-0.066,0.112,-0.027,-0.017,-0.182,0.000,-0.306,6082,5454;
319017,-0.098,0.985,-0.066,0.113,-0.025,-0.012,-0.182,0.000,-0.306,6082,5451;
319037,-0.090,0.993,-0.056,0.112,-0.029,-0.013,-0.091,0.000,-0.612,6086,5451;
319077,-0.087,0.989,-0.056,0.119,-0.035,-0.016,-0.091,0.000,-0.612,6065,5451;
319097,-0.090,0.989,-0.059,0.112,-0.042,-0.019,-0.091,0.000,-0.612,6094,5449;
